ダウンロードした時刻：2023/11/18 12:20:53,,,,,
,,,,,
,船橋,船橋,船橋,船橋,船橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm)
,,,,,
,,,,,
2022/11/17,11.7,17.1,6.5,0,0
2022/11/18,12,17.9,8,0,0
2022/11/19,12.4,18.1,6.1,0,0
2022/11/20,11.2,13.9,8.9,5.5,5.5
2022/11/21,12.9,17.2,10.8,3.5,3.5
2022/11/22,14.7,19.6,8.8,0,0
2022/11/23,11.7,14,10.1,35,35
2022/11/24,14.9,20.4,9,0,0
2022/11/25,13.1,17.7,8.9,0,0
2022/11/26,12.2,15.4,9.5,4,4
2022/11/27,12.8,18.9,8.4,0,0
2022/11/28,11,14,7.2,0,0
2022/11/29,16.7,22.1,9.5,10,10
2022/11/30,16.7,20,11.8,13,13
2022/12/1,9.6,12.6,7.6,0,0
2022/12/2,8.3,12,5.2,0,0
2022/12/3,7.1,11,4.3,0,0
2022/12/4,9.1,14.9,3.2,0,0
2022/12/5,7,8.9,5.2,17.5,17.5
2022/12/6,5.5,7.8,3.9,8.5,8.5
2022/12/7,7.3,14.4,1.4,0,0
2022/12/8,8.4,14.8,2.8,0,0
2022/12/9,8.3,13.2,3.7,0,0
2022/12/10,9.7,16.1,4.5,0,0
2022/12/11,8.8,14.2,5.4,0,0
2022/12/12,7.7,11.3,5,0,0
2022/12/13,6.2,9.6,4.1,3.5,3.5
2022/12/14,9.3,14.8,4.1,0,0
2022/12/15,5.9,11.4,2.2,0,0
2022/12/16,7.2,13.9,0.5,0,0
2022/12/17,5.7,7.6,4.2,4,4
2022/12/18,5.8,10.6,0,1.5,1.5
2022/12/19,4.9,9.1,-0.1,0,0
2022/12/20,4.2,10.6,-1.5,0,0
2022/12/21,5.8,10.4,1.8,0.5,0.5
2022/12/22,7.3,12.6,4.4,11.5,11.5
2022/12/23,6,9.7,2.6,0,0
2022/12/24,6.3,11.2,1.9,0,0
2022/12/25,7.3,12.6,3.4,0,0
2022/12/26,5.8,10.9,1.4,0,0
2022/12/27,6.2,12.2,0.9,0,0
2022/12/28,5.7,12.3,1.1,0,0
2022/12/29,7.2,13.8,0.7,0,0
2022/12/30,5,11.1,0.3,0,0
2022/12/31,3.9,9.4,0.2,0,0
2023/1/1,5.5,12.2,-1.1,0,0
2023/1/2,5.2,10.9,-0.1,0,0
2023/1/3,5.3,11,0.6,0,0
2023/1/4,5.1,11,-0.6,0,0
2023/1/5,5.2,10,0.9,0,0
2023/1/6,4.4,9.7,-1.8,0,0
2023/1/7,5.5,10.2,1.7,0,0
2023/1/8,6.1,12.2,0.6,0,0
2023/1/9,7.4,13.1,2.3,0,0
2023/1/10,5.9,8.5,1.7,0,0
2023/1/11,4.3,11.2,-1.4,0,0
2023/1/12,5.1,12.4,0.2,0,0
2023/1/13,7.7,14.3,0.8,0,0
2023/1/14,10.1,14.5,8,2,2
2023/1/15,9.8,11.7,7.6,4,4
2023/1/16,6,7.6,3.6,6.5,6.5
2023/1/17,3.7,6,-0.5,1.5,1.5
2023/1/18,7,11.5,3.5,0,0
2023/1/19,5.8,8.2,2.1,0,0
2023/1/20,7.5,11.4,4,1,1
2023/1/21,5.4,8.4,2.9,0,0
2023/1/22,4.1,8.6,1.2,0,0
2023/1/23,3.9,6.1,2.3,3,3
2023/1/24,4.2,10.8,-1.3,1.5,1.5
2023/1/25,-0.7,2.8,-2.7,0,0
2023/1/26,2,7.3,-5.2,0,0
2023/1/27,2.9,5.9,0.8,1,1
2023/1/28,3.1,7.5,-1,0,0
2023/1/29,2.6,7.9,-3.3,0,0
2023/1/30,3.4,10.2,-2.3,0,0
2023/1/31,3.6,8.3,-0.2,0,0
2023/2/1,6.4,12.3,-2.5,0,0
2023/2/2,6.3,9,4.4,0,0
2023/2/3,4.4,5.6,2.8,0,0
2023/2/4,5.9,11.9,1.2,0,0
2023/2/5,5.5,12,-1.3,0,0
2023/2/6,6.8,13.5,1.8,0,0
2023/2/7,9.6,14.8,5.4,0,0
2023/2/8,8.5,11.9,5.6,0,0
2023/2/9,6,10.4,2,0,0
2023/2/10,1.7,3.2,0.4,17,17
2023/2/11,8.3,12.6,3.2,0,0
2023/2/12,10.4,15.1,4.9,0,0
2023/2/13,7.6,10.6,4.5,16.5,16.5
2023/2/14,4.8,9.9,2.3,0,0
2023/2/15,3.1,7.2,0.3,0,0
2023/2/16,2.6,8.4,-3.6,0,0
2023/2/17,4.9,11.4,-0.1,0,0
2023/2/18,7.9,14.1,1.3,0,0
2023/2/19,11.6,16.9,7.1,0,0
2023/2/20,8.5,13.1,2.4,3.5,3.5
2023/2/21,4.1,8,1.7,0,0
2023/2/22,4.8,10,-1.2,0,0
2023/2/23,8.1,14.7,4.2,0,0
2023/2/24,8.5,11.7,5.1,0.5,0.5
2023/2/25,7.2,11.7,4.2,0,0
2023/2/26,5.8,10.1,1.5,0,0
2023/2/27,8.1,14.1,1.8,0,0
2023/2/28,11.2,17,2.5,0,0
2023/3/1,13.6,17.6,7.5,0,0
2023/3/2,12.2,19.1,5.3,0,0
2023/3/3,7,12.2,0.7,0,0
2023/3/4,10.1,16.8,4.3,0,0
2023/3/5,9.2,12.6,5.8,0,0
2023/3/6,9.1,13,6.6,2.5,2.5
2023/3/7,11.4,17.9,4.7,0,0
2023/3/8,13.1,19.8,5.5,0,0
2023/3/9,14.8,21.8,7.7,0,0
2023/3/10,16.7,21.2,11.5,0,0
2023/3/11,13.6,21.1,7.5,0,0
2023/3/12,13.7,19.7,8,0,0
2023/3/13,14.1,19.1,9.3,4,4
